branch,opening_rank,closing_rank,category,main_category,quota,gender,year,source_file
IP,44504,75111,UR/X/OP,UR,X,OP,2020,2020_round1.pdf
IP,63965,78762,EWS,EWS,,OP,2020,2020_round1.pdf
IP,48279,95912,UR/X/F,UR,X,F,2020,2020_round1.pdf
IP,112671,112964,OBC/X/F,OBC,X,F,2020,2020_round1.pdf
IP,273271,273271,UR/S/OP,UR,S,OP,2020,2020_round1.pdf
IP,352405,354675,SC/X/F,SC,X,F,2020,2020_round1.pdf
IP,307098,430354,SC/X/OP,SC,X,OP,2020,2020_round1.pdf
IP,625437,625437,OBC/FF/OP,OBC,FF,OP,2020,2020_round1.pdf
IP,385866,780792,ST/X/F,ST,X,F,2020,2020_round1.pdf
IP,571179,986083,ST/X/OP,ST,X,OP,2020,2020_round1.pdf
IT,17316,18761,FW/OP,FW,OP,OP,2020,2020_round1.pdf
IT,16380,21146,UR/X/OP,UR,X,OP,2020,2020_round1.pdf
IT,15677,21551,UR/X/OP,UR,X,OP,2020,2020_round1.pdf
IT,19294,24695,EWS,EWS,,OP,2020,2020_round1.pdf
IT,16624,26179,OBC/X/OP,OBC,X,OP,2020,2020_round1.pdf
IT,20404,26367,UR/X/F,UR,X,F,2020,2020_round1.pdf
IT,34783,39634,OBC/X/F,OBC,X,F,2020,2020_round1.pdf
IT,43406,43406,UR/S/OP,UR,S,OP,2020,2020_round1.pdf
IT,46775,46775,OBC/NCC/OP,OBC,NCC,OP,2020,2020_round1.pdf
IT,65581,65581,UR/H/OP,UR,H,OP,2020,2020_round1.pdf
IT,91342,116407,SC/X/OP,SC,X,OP,2020,2020_round1.pdf
IT,161169,173559,SC/X/F,SC,X,F,2020,2020_round1.pdf
IT,175061,175061,UR/S/F,UR,S,F,2020,2020_round1.pdf
IT,248170,248170,OBC/H/OP,OBC,H,OP,2020,2020_round1.pdf
IT,275863,275863,UR/FF/F,UR,FF,F,2020,2020_round1.pdf
IT,226138,365101,ST/X/OP,ST,X,OP,2020,2020_round1.pdf
IT,350259,425173,ST/X/F,ST,X,F,2020,2020_round1.pdf
IT,473855,473855,SC/S/OP,SC,S,OP,2020,2020_round1.pdf
MECH,29734,38924,FW/OP,FW,OP,OP,2020,2020_round1.pdf
MECH,37494,48185,EWS,EWS,,OP,2020,2020_round1.pdf
MECH,35387,49786,UR/X/OP,UR,X,OP,2020,2020_round1.pdf
