branch,opening_rank,closing_rank,category,domicile,year,source_file
IP,360804,487363,SC/X/F,Y,2023,2023_round1.pdf
IP,424816,763407,SC/X/OP,Y,2023,2023_round1.pdf
IP,934394,934394,ST/X/F,Y,2023,2023_round1.pdf
IP,521568,521568,UR/S/OP,Y,2023,2023_round1.pdf
IP,117962,171071,UR/X/F,Y,2023,2023_round1.pdf
IP,75393,90933,UR/X/OP,AI,2023,2023_round1.pdf
IP,89436,139074,UR/X/OP,Y,2023,2023_round1.pdf
IT,27578,32558,EWS,Y,2023,2023_round1.pdf
IT,26783,31409,FW/OP,Y,2023,2023_round1.pdf
IT,979460,979460,OBC/H/F,Y,2023,2023_round1.pdf
IT,124256,124256,OBC/NCC/OP,Y,2023,2023_round1.pdf
IT,89683,89683,OBC/S/OP,Y,2023,2023_round1.pdf
IT,44711,58612,OBC/X/F,Y,2023,2023_round1.pdf
IT,34182,41270,OBC/X/OP,Y,2023,2023_round1.pdf
IT,578285,578285,SC/H/OP,Y,2023,2023_round1.pdf
IT,458302,458302,SC/S/OP,Y,2023,2023_round1.pdf
IT,153520,180478,SC/X/F,Y,2023,2023_round1.pdf
IT,132180,157698,SC/X/OP,Y,2023,2023_round1.pdf
IT,284286,394150,ST/X/F,Y,2023,2023_round1.pdf
IT,220538,329025,ST/X/OP,Y,2023,2023_round1.pdf
IT,102281,102281,UR/FF/F,Y,2023,2023_round1.pdf
IT,469469,469469,UR/H/OP,Y,2023,2023_round1.pdf
IT,169522,169522,UR/NCC/F,Y,2023,2023_round1.pdf
IT,170607,170607,UR/S/F,Y,2023,2023_round1.pdf
IT,47493,50611,UR/S/OP,Y,2023,2023_round1.pdf
IT,32452,37932,UR/X/F,Y,2023,2023_round1.pdf
IT,22584,29747,UR/X/OP,AI,2023,2023_round1.pdf
IT,26851,35507,UR/X/OP,Y,2023,2023_round1.pdf
MECH,67967,78308,EWS,Y,2023,2023_round1.pdf
MECH,53066,71707,FW/OP,Y,2023,2023_round1.pdf
MECH,126336,126336,OBC/S/OP,Y,2023,2023_round1.pdf
MECH,70574,97958,OBC/X/F,Y,2023,2023_round1.pdf
MECH,66839,74758,OBC/X/OP,Y,2023,2023_round1.pdf
MECH,318477,351581,SC/X/F,Y,2023,2023_round1.pdf
MECH,174038,330096,SC/X/OP,Y,2023,2023_round1.pdf
