branch,opening_rank,closing_rank,category,main_category,quota,gender,year,source_file,rank_gap,avg_rank,is_reserved,is_female,is_special_quota,branch_encoded,main_category_encoded,quota_encoded,year_normalized,log_closing_rank,log_opening_rank,branch_year,category_branch
IP,44504,75111,UR/X/OP,UR,X,OP,2020,2020_round1.pdf,30607,59807.5,0,0,0,10,5,6,0,11.226735611938384,10.703356821393031,0,50
IP,63965,78762,EWS,EWS,GENERAL,OP,2020,2020_round1.pdf,14797,71363.5,1,0,0,10,0,1,0,11.27419862242886,11.066106971178531,0,0
IP,48279,95912,UR/X/F,UR,X,F,2020,2020_round1.pdf,47633,72095.5,0,1,0,10,5,6,0,11.471196809557176,10.784772675211467,0,50
IP,112671,112964,OBC/X/F,OBC,X,F,2020,2020_round1.pdf,293,112817.5,1,1,0,10,2,6,0,11.634833315203561,11.632236221954779,0,20
IP,273271,273271,UR/S/OP,UR,S,OP,2020,2020_round1.pdf,0,273271.0,0,0,1,10,5,5,0,12.518222915149167,12.518222915149167,0,50
IP,352405,354675,SC/X/F,SC,X,F,2020,2020_round1.pdf,2270,353540.0,1,1,0,10,3,6,0,12.778959975658836,12.772539199005916,0,30
IP,307098,430354,SC/X/OP,SC,X,OP,2020,2020_round1.pdf,123256,368726.0,1,0,0,10,3,6,0,12.972365728460225,12.634925450155295,0,30
IP,625437,625437,OBC/FF/OP,OBC,FF,OP,2020,2020_round1.pdf,0,625437.0,1,0,1,10,2,0,0,13.346207483272885,13.346207483272885,0,20
IP,385866,780792,ST/X/F,ST,X,F,2020,2020_round1.pdf,394926,583329.0,1,1,0,10,4,6,0,13.568065348876898,12.863248029487183,0,40
IP,571179,986083,ST/X/OP,ST,X,OP,2020,2020_round1.pdf,414904,778631.0,1,0,0,10,4,6,0,13.80149682265385,13.255459675388904,0,40
IT,17316,18761,FW/OP,FW,OP,OP,2020,2020_round1.pdf,1445,18038.5,1,0,0,11,1,4,0,9.839588826685896,9.75944395695215,0,11
IT,16380,21146,UR/X/OP,UR,X,OP,2020,2020_round1.pdf,4766,18763.0,0,0,0,11,5,6,0,9.959253330441985,9.703877405604631,0,55
IT,15677,21551,UR/X/OP,UR,X,OP,2020,2020_round1.pdf,5874,18614.0,0,0,0,11,5,6,0,9.978223898650144,9.660013734748668,0,55
IT,19294,24695,EWS,EWS,GENERAL,OP,2020,2020_round1.pdf,5401,21994.5,1,0,0,11,0,1,0,10.114396566181995,9.867601273971719,0,0
IT,16624,26179,OBC/X/OP,OBC,X,OP,2020,2020_round1.pdf,9555,21401.5,1,0,0,11,2,6,0,10.172751039463892,9.718662865524054,0,22
IT,20404,26367,UR/X/F,UR,X,F,2020,2020_round1.pdf,5963,23385.5,0,1,0,11,5,6,0,10.179906432709199,9.923535247839906,0,55
IT,34783,39634,OBC/X/F,OBC,X,F,2020,2020_round1.pdf,4851,37208.5,1,1,0,11,2,6,0,10.587467845271256,10.456912789920937,0,22
IT,43406,43406,UR/S/OP,UR,S,OP,2020,2020_round1.pdf,0,43406.0,0,0,1,11,5,5,0,10.67837599740519,10.67837599740519,0,55
IT,46775,46775,OBC/NCC/OP,OBC,NCC,OP,2020,2020_round1.pdf,0,46775.0,1,0,1,11,2,3,0,10.753125529855506,10.753125529855506,0,22
IT,65581,65581,UR/H/OP,UR,H,OP,2020,2020_round1.pdf,0,65581.0,0,0,1,11,5,2,0,11.091056547036388,11.091056547036388,0,55
IT,91342,116407,SC/X/OP,SC,X,OP,2020,2020_round1.pdf,25065,103874.5,1,0,0,11,3,6,0,11.664856540440114,11.42237693051756,0,33
IT,161169,173559,SC/X/F,SC,X,F,2020,2020_round1.pdf,12390,167364.0,1,1,0,11,3,6,0,12.064278639912287,11.990214987516763,0,33
IT,175061,175061,UR/S/F,UR,S,F,2020,2020_round1.pdf,0,175061.0,0,1,1,11,5,5,0,12.072895475875573,12.072895475875573,0,55
IT,248170,248170,OBC/H/OP,OBC,H,OP,2020,2020_round1.pdf,0,248170.0,1,0,1,11,2,2,0,12.421873303669122,12.421873303669122,0,22
IT,275863,275863,UR/FF/F,UR,FF,F,2020,2020_round1.pdf,0,275863.0,0,1,1,11,5,0,0,12.527663269633136,12.527663269633136,0,55
IT,226138,365101,ST/X/OP,ST,X,OP,2020,2020_round1.pdf,138963,295619.5,1,0,0,11,4,6,0,12.807932045579971,12.328905133440013,0,44
IT,350259,425173,ST/X/F,ST,X,F,2020,2020_round1.pdf,74914,387716.0,1,1,0,11,4,6,0,12.960253775885132,12.766431014826656,0,44
IT,473855,473855,SC/S/OP,SC,S,OP,2020,2020_round1.pdf,0,473855.0,1,0,1,11,3,5,0,13.06865875705306,13.06865875705306,0,33
MECH,29734,38924,FW/OP,FW,OP,OP,2020,2020_round1.pdf,9190,34329.0,1,0,0,12,1,4,0,10.5693919967022,10.300080082140694,0,12
MECH,37494,48185,EWS,EWS,GENERAL,OP,2020,2020_round1.pdf,10691,42839.5,1,0,0,12,0,1,0,10.782823801416518,10.531962869735489,0,0
MECH,35387,49786,UR/X/OP,UR,X,OP,2020,2020_round1.pdf,14399,42586.5,0,0,0,12,5,6,0,10.815509184758076,10.474128058603277,0,60
MECH,11523,50029,UR/X/OP,UR,X,OP,2020,2020_round1.pdf,38506,30776.0,0,0,0,12,5,6,0,10.82037810448225,9.35218709620442,0,60
MECH,40241,50370,OBC/X/OP,OBC,X,OP,2020,2020_round1.pdf,10129,45305.5,1,0,0,12,2,6,0,10.827170891629782,10.602666505327793,0,24
MECH,37884,62936,UR/X/F,UR,X,F,2020,2020_round1.pdf,25052,50410.0,0,1,0,12,5,6,0,11.049889505040086,10.542310534365473,0,60
MECH,84172,84172,OBC/S/OP,OBC,S,OP,2020,2020_round1.pdf,0,84172.0,1,0,1,12,2,5,0,11.34062948372324,11.34062948372324,0,24
MECH,80565,84550,OBC/X/F,OBC,X,F,2020,2020_round1.pdf,3985,82557.5,1,1,0,12,2,6,0,11.345110181577896,11.2968320032685,0,24
MECH,101247,121074,UR/S/OP,UR,S,OP,2020,2020_round1.pdf,19827,111160.5,0,0,1,12,5,5,0,11.70416546727143,11.52532823168727,0,60
MECH,197776,197776,UR/NCC/OP,UR,NCC,OP,2020,2020_round1.pdf,0,197776.0,0,0,1,12,5,3,0,12.194895412340045,12.194895412340045,0,60
MECH,128781,220361,SC/X/OP,SC,X,OP,2020,2020_round1.pdf,91580,174571.0,1,0,0,12,3,6,0,12.303026927602826,11.765876331333438,0,36
MECH,164274,291075,SC/X/F,SC,X,F,2020,2020_round1.pdf,126801,227674.5,1,1,0,12,3,6,0,12.581339680439983,12.009297131766068,0,36
MECH,377586,377586,UR/FF/OP,UR,FF,OP,2020,2020_round1.pdf,0,377586.0,0,0,1,12,5,0,0,12.841556284694725,12.841556284694725,0,60
MECH,232031,393398,ST/X/OP,ST,X,OP,2020,2020_round1.pdf,161367,312714.5,1,0,0,12,4,6,0,12.882579642991821,12.354630572171319,0,48
MECH,402388,534787,ST/X/F,ST,X,F,2020,2020_round1.pdf,132399,468587.5,1,1,0,12,4,6,0,13.189625685663493,12.905174561409936,0,48
CE,133549,218749,FW/OP,FW,OP,OP,2020,2020_round1.pdf,85200,176149.0,1,0,0,4,1,4,0,12.29568480421986,11.802231218538108,0,4
CE,532334,978090,OBC/X/OP,OBC,X,OP,2020,2020_round1.pdf,445756,755212.0,1,0,0,4,2,6,0,13.793357991723113,13.18502826939452,0,8
CSE,761958,761958,FW/OP,FW,OP,OP,2020,2020_round1.pdf,0,761958.0,1,0,0,5,1,4,0,13.543648027446922,13.543648027446922,0,5
CSE,836832,836832,EWS,EWS,GENERAL,OP,2020,2020_round1.pdf,0,836832.0,1,0,0,5,0,1,0,13.637379807461683,13.637379807461683,0,0
CSE,257305,983900,UR/X/OP,UR,X,OP,2020,2020_round1.pdf,726595,620602.5,0,0,0,5,5,6,0,13.799280561216792,12.458021317080732,0,25
EC,281301,320121,ST/X/OP,ST,X,OP,2020,2020_round2.pdf,38820,300711.0,1,0,0,6,4,6,0,12.676457452118594,12.547184104299811,0,24
EC,912305,912305,UR/H/OP,UR,H,OP,2020,2020_round2.pdf,0,912305.0,0,0,1,6,5,2,0,13.723730739095892,13.723730739095892,0,30
EE,35068,39039,EWS,EWS,GENERAL,OP,2020,2020_round2.pdf,3971,37053.5,1,0,0,7,0,1,0,10.57234204052703,10.465072828327909,0,0
EE,34833,45282,FW/OP,FW,OP,OP,2020,2020_round2.pdf,10449,40057.5,1,0,0,7,1,4,0,10.720686965099299,10.45834920029173,0,7
EE,42791,45469,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,2678,44130.0,0,0,0,7,5,6,0,10.724808046819057,10.664106448211086,0,35
EE,36831,45833,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,9002,41332.0,0,0,0,7,5,6,0,10.732781452769414,10.514122311521609,0,35
EE,48073,49115,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf,1042,48594.0,1,0,0,7,2,6,0,10.801940126280403,10.780496769408607,0,14
EE,44926,53023,UR/X/F,UR,X,F,2020,2020_round2.pdf,8097,48974.5,0,1,0,7,5,6,0,10.87849992022629,10.712794229303016,0,35
EE,183255,183255,SC/X/OP,SC,X,OP,2020,2020_round2.pdf,0,183255.0,1,0,0,7,3,6,0,12.11863936136841,12.11863936136841,0,21
EE,295377,295377,ST/X/OP,ST,X,OP,2020,2020_round2.pdf,0,295377.0,1,0,0,7,4,6,0,12.59601117101825,12.59601117101825,0,28
EI,42191,43398,UR/X/F,UR,X,F,2020,2020_round2.pdf,1207,42794.5,0,1,0,8,5,6,0,10.678191678348384,10.649985908593068,0,40
EI,35569,43483,FW/OP,FW,OP,OP,2020,2020_round2.pdf,7914,39526.0,1,0,0,8,1,4,0,10.68014833332389,10.4792578649425,0,8
EI,32777,45744,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,12967,39260.5,0,0,0,8,5,6,0,10.730837775113635,10.397512837623772,0,40
EI,47345,47345,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,0,47345.0,0,0,0,8,5,6,0,10.76523761774909,10.76523761774909,0,40
EI,50431,50431,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf,0,50431.0,1,0,0,8,2,6,0,10.82838117321755,10.82838117321755,0,16
EI,37264,52738,EWS,EWS,GENERAL,OP,2020,2020_round2.pdf,15474,45001.0,1,0,0,8,0,1,0,10.873110498787055,10.525809827315793,0,0
EI,372901,372901,ST/X/OP,ST,X,OP,2020,2020_round2.pdf,0,372901.0,1,0,0,8,4,6,0,12.829070929520725,12.829070929520725,0,32
EI,426587,610672,ST/X/F,ST,X,F,2020,2020_round2.pdf,184085,518629.5,1,1,0,8,4,6,0,13.322316906673361,12.963573955228531,0,32
IP,51992,51992,FW/OP,FW,OP,OP,2020,2020_round2.pdf,0,51992.0,1,0,0,10,1,4,0,10.858864373117484,10.858864373117484,0,10
IP,60393,60393,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf,0,60393.0,1,0,0,10,2,6,0,11.008645041240241,11.008645041240241,0,20
IP,50839,65908,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,15069,58373.5,0,0,0,10,5,6,0,11.096030281727145,10.83643872530339,0,50
IP,61807,79276,UR/X/F,UR,X,F,2020,2020_round2.pdf,17469,70541.5,0,1,0,10,5,6,0,11.280703327722811,11.031788084906063,0,50
IP,57092,80564,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,23472,68828.0,0,0,0,10,5,6,0,11.296819591007669,10.952436796185138,0,50
IP,154457,154457,OBC/X/F,OBC,X,F,2020,2020_round2.pdf,0,154457.0,1,1,0,10,2,6,0,11.947677493703285,11.947677493703285,0,20
IP,246556,268432,SC/X/OP,SC,X,OP,2020,2020_round2.pdf,21876,257494.0,1,0,0,10,3,6,0,12.500356627341503,12.415348483056167,0,30
IP,479998,653170,ST/X/OP,ST,X,OP,2020,2020_round2.pdf,173172,566584.0,1,0,0,10,4,6,0,13.389594242277203,13.08153929954857,0,40
IP,758769,758769,ST/X/F,ST,X,F,2020,2020_round2.pdf,0,758769.0,1,1,0,10,4,6,0,13.539453980151777,13.539453980151777,0,40
IT,20549,22786,FW/OP,FW,OP,OP,2020,2020_round2.pdf,2237,21667.5,1,0,0,11,1,4,0,10.033945476892105,9.930616219924381,0,11
IT,20677,27473,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,6796,24075.0,0,0,0,11,5,6,0,10.220995381885151,9.936825612146638,0,55
IT,24545,27728,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,3183,26136.5,0,0,0,11,5,6,0,10.230234075932888,10.108304187157454,0,55
IT,23166,28839,EWS,EWS,GENERAL,OP,2020,2020_round2.pdf,5673,26002.5,1,0,0,11,0,1,0,10.269518591398885,10.05048413127047,0,0
IT,24868,30737,UR/X/F,UR,X,F,2020,2020_round2.pdf,5869,27802.5,0,1,0,11,5,6,0,10.333254953167257,10.12137732690179,0,55
IT,34732,35714,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf,982,35223.0,1,0,0,11,2,6,0,10.483326047589072,10.45544552265826,0,22
IT,80422,91837,OBC/X/F,OBC,X,F,2020,2020_round2.pdf,11415,86129.5,1,1,0,11,2,6,0,11.427781434312786,11.295055483908678,0,22
IT,129507,176662,SC/X/OP,SC,X,OP,2020,2020_round2.pdf,47155,153084.5,1,0,0,11,3,6,0,12.081999241927832,11.771497934275443,0,33
IT,168966,204400,SC/X/F,SC,X,F,2020,2020_round2.pdf,35434,186683.0,1,1,0,11,3,6,0,12.227839029667624,12.037458708566081,0,33
IT,287874,287874,ST/X/OP,ST,X,OP,2020,2020_round2.pdf,0,287874.0,1,0,0,11,4,6,0,12.570281637122987,12.570281637122987,0,44
IT,522986,522986,OBC/H/OP,OBC,H,OP,2020,2020_round2.pdf,0,522986.0,1,0,1,11,2,2,0,13.16731188614157,13.16731188614157,0,22
IT,800497,800497,UR/H/OP,UR,H,OP,2020,2020_round2.pdf,0,800497.0,0,0,1,11,5,2,0,13.59298931297731,13.59298931297731,0,55
MECH,36896,44397,FW/OP,FW,OP,OP,2020,2020_round2.pdf,7501,40646.5,1,0,0,12,1,4,0,10.700949702360713,10.51588552591052,0,12
MECH,47403,47403,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,0,47403.0,0,0,0,12,5,6,0,10.766461892308339,10.766461892308339,0,60
MECH,18808,50397,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,31589,34602.5,0,0,0,12,5,6,0,10.827706770732405,9.842090757670805,0,60
MECH,36757,50398,EWS,EWS,GENERAL,OP,2020,2020_round2.pdf,13641,43577.5,1,0,0,12,0,1,0,10.827726612592778,10.51211116802542,0,0
MECH,44504,50721,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf,6217,47612.5,1,0,0,12,2,6,0,10.834115020510335,10.703356821393031,0,24
MECH,46596,56141,UR/X/F,UR,X,F,2020,2020_round2.pdf,9545,51368.5,0,1,0,12,5,6,0,10.935639474503969,10.749291440359002,0,60
MECH,130980,136646,SC/X/OP,SC,X,OP,2020,2020_round2.pdf,5666,133813.0,1,0,0,12,3,6,0,11.825156237218406,11.782807553496298,0,36
MECH,232707,232707,SC/X/F,SC,X,F,2020,2020_round2.pdf,0,232707.0,1,1,0,12,3,6,0,12.35753972772823,12.35753972772823,0,36
MECH,276005,297123,ST/X/OP,ST,X,OP,2020,2020_round2.pdf,21118,286564.0,1,0,0,12,4,6,0,12.601904839069958,12.52817788359343,0,48
MECH,395644,395644,ST/X/F,ST,X,F,2020,2020_round2.pdf,0,395644.0,1,1,0,12,4,6,0,12.888272623525413,12.888272623525413,0,48
CE,527210,527210,ST/X/OP,ST,X,OP,2020,2020_round2.pdf,0,527210.0,1,0,0,4,4,6,0,13.175356126899654,13.175356126899654,0,16
CE,378488,533139,FW/OP,FW,OP,OP,2020,2020_round2.pdf,154651,455813.5,1,0,0,4,1,4,0,13.186539332822893,12.843942289350144,0,4
CE,166129,958887,UR/X/OP,UR,X,OP,2020,2020_round2.pdf,792758,562508.0,0,0,0,4,5,6,0,13.773529558724121,12.020525893380524,0,20
CSE,204261,326006,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf,121745,265133.5,1,0,0,5,2,6,0,12.694674132510954,12.227158762526434,0,10
CSE,519414,519414,SC/X/OP,SC,X,OP,2020,2020_round2.pdf,0,519414.0,1,0,0,5,3,6,0,13.1604584572701,13.1604584572701,0,15
EC,756325,756325,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf,0,756325.0,1,0,0,6,2,6,0,13.536227779145586,13.536227779145586,0,12
CSE,393509,393509,FW/OP,FW,OP,OP,2020,2020_round2.pdf,0,393509.0,1,0,0,5,1,4,0,12.8828617594773,12.8828617594773,0,5
EI,563189,722290,ST/X/F,ST,X,F,2021,2021_round1.pdf,159101,642739.5,1,1,0,8,4,6,1,13.490183383764714,13.241372327986518,8,32
EI,589106,741077,ST/X/OP,ST,X,OP,2021,2021_round1.pdf,151971,665091.5,1,0,0,8,4,6,1,13.515861161896341,13.286363109971859,8,32
IP,89115,92351,FW/OP,FW,OP,OP,2021,2021_round1.pdf,3236,90733.0,1,0,0,10,1,4,1,11.433362642133543,11.397694170850414,10,10
IP,80106,103367,UR/X/OP,UR,X,OP,2021,2021_round1.pdf,23261,91736.5,0,0,0,10,5,6,1,11.546050715402057,11.291118519999648,10,50
IP,91131,107760,EWS,EWS,GENERAL,OP,2021,2021_round1.pdf,16629,99445.5,1,0,0,10,0,1,1,11.587671090922406,11.42006428391894,10,0
IP,69685,131849,UR/X/OP,UR,X,OP,2021,2021_round1.pdf,62164,100767.0,0,0,0,10,5,6,1,11.789420191781433,11.151754715741239,10,50
IP,128308,132260,OBC/X/F,OBC,X,F,2021,2021_round1.pdf,3952,130284.0,1,1,0,10,2,6,1,11.792532522065033,11.762196696233879,10,20
IP,95516,135635,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf,40119,115575.5,1,0,0,10,2,6,1,11.81773010597873,11.467059521098042,10,20
IP,64560,137789,UR/X/F,UR,X,F,2021,2021_round1.pdf,73229,101174.5,0,1,0,10,5,6,1,11.833486065987948,11.075365792291032,10,50
IP,314715,314715,UR/S/OP,UR,S,OP,2021,2021_round1.pdf,0,314715.0,0,0,1,10,5,5,1,12.659425923831899,12.659425923831899,10,50
IP,319493,499182,SC/X/OP,SC,X,OP,2021,2021_round1.pdf,179689,409337.5,1,0,0,10,3,6,1,13.120728040970308,12.67449377328067,10,30
IP,444371,537033,SC/X/F,SC,X,F,2021,2021_round1.pdf,92662,490702.0,1,1,0,10,3,6,1,13.193816686198069,13.004417328462,10,30
IP,379818,632437,ST/X/OP,ST,X,OP,2021,2021_round1.pdf,252619,506127.5,1,0,0,10,4,6,1,13.35733747106376,12.847450102438694,10,40
IT,17301,21140,FW/OP,FW,OP,OP,2021,2021_round1.pdf,3839,19220.5,1,0,0,11,1,4,1,9.958969561995133,9.75857738074032,11,11
IT,19401,24455,UR/X/OP,UR,X,OP,2021,2021_round1.pdf,5054,21928.0,0,0,0,11,5,6,1,10.104630863570671,9.873131432521228,11,55
IT,20961,26913,EWS,EWS,GENERAL,OP,2021,2021_round1.pdf,5952,23937.0,1,0,0,11,0,1,1,10.200401876301486,9.950466553730122,11,0
IT,18805,27959,UR/X/OP,UR,X,OP,2021,2021_round1.pdf,9154,23382.0,0,0,0,11,5,6,1,10.238530196347746,9.841931246837023,11,55
IT,18487,31227,UR/X/F,UR,X,F,2021,2021_round1.pdf,12740,24857.0,0,1,0,11,5,6,1,10.349070407240182,9.824877151954217,11,55
IT,34253,34253,OBC/NCC/OP,OBC,NCC,OP,2021,2021_round1.pdf,0,34253.0,1,0,1,11,2,3,1,10.441558625192314,10.441558625192314,11,22
IT,28125,34372,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf,6247,31248.5,1,0,0,11,2,6,1,10.445026651458063,10.244449694430193,11,22
IT,39302,39302,UR/S/OP,UR,S,OP,2021,2021_round1.pdf,0,39302.0,0,0,1,11,5,5,1,10.57905613082178,10.57905613082178,11,55
IT,34470,40035,OBC/X/F,OBC,X,F,2021,2021_round1.pdf,5565,37252.5,1,1,0,11,2,6,1,10.59753432833891,10.44787366982408,11,22
IT,110250,132532,SC/X/OP,SC,X,OP,2021,2021_round1.pdf,22282,121391.0,1,0,0,11,3,6,1,11.79458695000274,11.610514863562742,11,33
IT,148607,148607,UR/S/F,UR,S,F,2021,2021_round1.pdf,0,148607.0,0,1,1,11,5,5,1,11.909067245617509,11.909067245617509,11,55
IT,155314,194307,SC/X/F,SC,X,F,2021,2021_round1.pdf,38993,174810.5,1,1,0,11,3,6,1,12.177199807961058,11.953210591723014,11,33
IT,308951,308951,UR/FF/F,UR,FF,F,2021,2021_round1.pdf,0,308951.0,0,1,1,11,5,0,1,12.64094120400758,12.64094120400758,11,55
IT,237547,314426,ST/X/OP,ST,X,OP,2021,2021_round1.pdf,76879,275986.5,1,0,0,11,4,6,1,12.658507213712491,12.378124987299474,11,44
IT,277779,324852,ST/X/F,ST,X,F,2021,2021_round1.pdf,47073,301315.5,1,1,0,11,4,6,1,12.691128051297587,12.53458471247021,11,44
IT,469279,469279,UR/H/OP,UR,H,OP,2021,2021_round1.pdf,0,469279.0,0,0,1,11,5,2,1,13.058954884211278,13.058954884211278,11,55
IT,553899,553899,OBC/H/OP,OBC,H,OP,2021,2021_round1.pdf,0,553899.0,1,0,1,11,2,2,1,13.224739444021195,13.224739444021195,11,22
MECH,47863,54759,UR/X/OP,UR,X,OP,2021,2021_round1.pdf,6896,51311.0,0,0,0,12,5,6,1,10.910715279402385,10.776118935069867,12,60
MECH,45383,59588,FW/OP,FW,OP,OP,2021,2021_round1.pdf,14205,52485.5,1,0,0,12,1,4,1,10.995226272261066,10.722914899006403,12,12
MECH,73814,73814,UR/S/OP,UR,S,OP,2021,2021_round1.pdf,0,73814.0,0,0,1,12,5,5,1,11.209317241968188,11.209317241968188,12,60
MECH,45487,74995,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf,29508,60241.0,1,0,0,12,2,6,1,11.225190057762841,10.725203833890781,12,24
MECH,65135,75318,EWS,EWS,GENERAL,OP,2021,2021_round1.pdf,10183,70226.5,1,0,0,12,0,1,1,11.229487705996814,11.08423267074276,12,0
MECH,23603,77707,UR/X/OP,UR,X,OP,2021,2021_round1.pdf,54104,50655.0,0,0,0,12,5,6,1,11.260713491158672,10.069171468177059,12,60
MECH,82698,94180,OBC/X/F,OBC,X,F,2021,2021_round1.pdf,11482,88439.0,1,1,0,12,2,6,1,11.452973741706773,11.322962789040247,12,24
MECH,50507,97570,UR/X/F,UR,X,F,2021,2021_round1.pdf,47063,74038.5,0,1,0,12,5,6,1,11.488335597101438,10.829887018558571,12,60
MECH,152952,152952,UR/FF/OP,UR,FF,OP,2021,2021_round1.pdf,0,152952.0,0,0,1,12,5,0,1,11.937885963639717,11.937885963639717,12,60
MECH,167089,167089,UR/NCC/OP,UR,NCC,OP,2021,2021_round1.pdf,0,167089.0,0,0,1,12,5,3,1,12.02628786838819,12.02628786838819,12,60
MECH,142870,283634,SC/X/OP,SC,X,OP,2021,2021_round1.pdf,140764,213252.0,1,0,0,12,3,6,1,12.55544347928343,11.869697404204764,12,36
MECH,347555,347555,UR/S/F,UR,S,F,2021,2021_round1.pdf,0,347555.0,0,1,1,12,5,5,1,12.75868108208268,12.75868108208268,12,60
MECH,250893,390941,SC/X/F,SC,X,F,2021,2021_round1.pdf,140048,320917.0,1,1,0,12,3,6,1,12.876314490368486,12.432785818158647,12,36
MECH,198582,493461,ST/X/OP,ST,X,OP,2021,2021_round1.pdf,294879,346021.5,1,0,0,12,4,6,1,13.109201133877772,12.19896242773503,12,48
MECH,400434,503532,ST/X/F,ST,X,F,2021,2021_round1.pdf,103098,451983.0,1,1,0,12,4,6,1,13.129404530204543,12.900306735190357,12,48
CE,370829,469224,FW/OP,FW,OP,OP,2021,2021_round1.pdf,98395,420026.5,1,0,0,4,1,4,1,13.058837676524451,12.823499015549979,4,4
CE,605042,605042,UR/X/OP,UR,X,OP,2021,2021_round1.pdf,0,605042.0,0,0,0,4,5,6,1,13.313054808867479,13.313054808867479,4,20
CE,426557,763980,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf,337423,595268.5,1,0,0,4,2,6,1,13.546298198729469,12.96350362728932,4,8
CSE,368511,738237,FW/OP,FW,OP,OP,2021,2021_round1.pdf,369726,553374.0,1,0,0,5,1,4,1,13.51202154481778,12.817228554531793,5,5
CSE,742156,742156,SC/X/OP,SC,X,OP,2021,2021_round1.pdf,0,742156.0,1,0,0,5,3,6,1,13.517316090063943,13.517316090063943,5,15
CSE,351614,769516,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf,417902,560565.0,1,0,0,5,2,6,1,13.553518324284747,12.770292105999198,5,10
