S. No.,INSTITUTE NAME,INSTITUTE TYPE,FW,BRANCH,NATIONALPLAYER,OPENING RANK,CLOSING RANK,"ALLOTTED 
CATEGORY",DOMICILE,TOTAL ALLOTTED
1560,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IP,,150804,154743,OBC/X/F,Y,3
1561,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IP,,135446,171437,OBC/X/OP,Y,12
1562,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IP,,314089,473106,SC/X/F,Y,4
1563,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IP,,352543,1008443,SC/X/OP,Y,35
1564,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IP,,361634,361634,UR/S/OP,Y,1
1565,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IP,,99115,146666,UR/X/F,Y,11
1566,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IP,,71791,82816,UR/X/OP,AI,5
1567,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IP,,82631,132257,UR/X/OP,Y,30
1568,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,32713,38077,EWS,Y,15
1569,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,Y,IT,,26622,32923,FW/OP,Y,6
1570,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,799084,799084,OBC/H/F,Y,1
1571,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,135433,135433,OBC/NCC/OP,Y,1
1572,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,124444,124444,OBC/S/OP,Y,1
1573,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,48736,52965,OBC/X/F,Y,5
1574,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,40381,48343,OBC/X/OP,Y,12
1575,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,1083940,1083940,SC/H/OP,Y,1
1576,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,133546,238391,SC/X/F,Y,6
1577,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,98297,180392,SC/X/OP,Y,16
1578,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,342716,470677,ST/X/F,Y,7
1579,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,336276,479369,ST/X/OP,Y,22
1580,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,953109,953109,UR/FF/F,Y,1
1581,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,310640,310640,UR/H/OP,Y,1
1582,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,523925,523925,UR/NCC/F,Y,1
1583,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,107494,107494,UR/S/F,Y,1
1584,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,71838,91980,UR/S/OP,Y,2
1585,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,35362,44875,UR/X/F,Y,14
1586,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,34190,39030,UR/X/OP,AI,6
1587,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,IT,,27597,39520,UR/X/OP,Y,37
1588,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,MECH,,55421,80663,EWS,Y,11
1589,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,Y,MECH,,44638,73927,FW/OP,Y,5
1590,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,MECH,,104532,104532,OBC/S/OP,Y,1
1591,"Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)",AIDED,N,MECH,,103621,110326,OBC/X/F,Y,3
