Branch,Opening_Rank,Closing_Rank,Category,Main_Category,Quota,Gender,Year,Source_File
IP,44504.0,75111.0,UR/X/OP,UR,X,OP,2020,2020_round1.pdf
IP,63965.0,78762.0,EWS,EWS,,,2020,2020_round1.pdf
IP,48279.0,95912.0,UR/X/F,UR,X,F,2020,2020_round1.pdf
IP,112671.0,112964.0,OBC/X/F,OBC,X,F,2020,2020_round1.pdf
IP,273271.0,273271.0,UR/S/OP,UR,S,OP,2020,2020_round1.pdf
IP,352405.0,354675.0,SC/X/F,SC,X,F,2020,2020_round1.pdf
IP,307098.0,430354.0,SC/X/OP,SC,X,OP,2020,2020_round1.pdf
IP,625437.0,625437.0,OBC/FF/OP,OBC,FF,OP,2020,2020_round1.pdf
IP,385866.0,780792.0,ST/X/F,ST,X,F,2020,2020_round1.pdf
IP,571179.0,986083.0,ST/X/OP,ST,X,OP,2020,2020_round1.pdf
IT,17316.0,18761.0,FW/OP,FW,OP,,2020,2020_round1.pdf
IT,16380.0,21146.0,UR/X/OP,UR,X,OP,2020,2020_round1.pdf
IT,15677.0,21551.0,UR/X/OP,UR,X,OP,2020,2020_round1.pdf
IT,19294.0,24695.0,EWS,EWS,,,2020,2020_round1.pdf
IT,16624.0,26179.0,OBC/X/OP,OBC,X,OP,2020,2020_round1.pdf
IT,20404.0,26367.0,UR/X/F,UR,X,F,2020,2020_round1.pdf
IT,34783.0,39634.0,OBC/X/F,OBC,X,F,2020,2020_round1.pdf
IT,43406.0,43406.0,UR/S/OP,UR,S,OP,2020,2020_round1.pdf
IT,46775.0,46775.0,OBC/NCC/OP,OBC,NCC,OP,2020,2020_round1.pdf
IT,65581.0,65581.0,UR/H/OP,UR,H,OP,2020,2020_round1.pdf
IT,91342.0,116407.0,SC/X/OP,SC,X,OP,2020,2020_round1.pdf
IT,161169.0,173559.0,SC/X/F,SC,X,F,2020,2020_round1.pdf
IT,175061.0,175061.0,UR/S/F,UR,S,F,2020,2020_round1.pdf
IT,248170.0,248170.0,OBC/H/OP,OBC,H,OP,2020,2020_round1.pdf
IT,275863.0,275863.0,UR/FF/F,UR,FF,F,2020,2020_round1.pdf
IT,226138.0,365101.0,ST/X/OP,ST,X,OP,2020,2020_round1.pdf
IT,350259.0,425173.0,ST/X/F,ST,X,F,2020,2020_round1.pdf
IT,473855.0,473855.0,SC/S/OP,SC,S,OP,2020,2020_round1.pdf
MECH,29734.0,38924.0,FW/OP,FW,OP,,2020,2020_round1.pdf
MECH,37494.0,48185.0,EWS,EWS,,,2020,2020_round1.pdf
MECH,35387.0,49786.0,UR/X/OP,UR,X,OP,2020,2020_round1.pdf
MECH,11523.0,50029.0,UR/X/OP,UR,X,OP,2020,2020_round1.pdf
MECH,40241.0,50370.0,OBC/X/OP,OBC,X,OP,2020,2020_round1.pdf
MECH,37884.0,62936.0,UR/X/F,UR,X,F,2020,2020_round1.pdf
MECH,84172.0,84172.0,OBC/S/OP,OBC,S,OP,2020,2020_round1.pdf
MECH,80565.0,84550.0,OBC/X/F,OBC,X,F,2020,2020_round1.pdf
MECH,101247.0,121074.0,UR/S/OP,UR,S,OP,2020,2020_round1.pdf
MECH,197776.0,197776.0,UR/NCC/OP,UR,NCC,OP,2020,2020_round1.pdf
MECH,128781.0,220361.0,SC/X/OP,SC,X,OP,2020,2020_round1.pdf
MECH,164274.0,291075.0,SC/X/F,SC,X,F,2020,2020_round1.pdf
MECH,377586.0,377586.0,UR/FF/OP,UR,FF,OP,2020,2020_round1.pdf
MECH,232031.0,393398.0,ST/X/OP,ST,X,OP,2020,2020_round1.pdf
MECH,402388.0,534787.0,ST/X/F,ST,X,F,2020,2020_round1.pdf
CE,133549.0,218749.0,FW/OP,FW,OP,,2020,2020_round1.pdf
CE,532334.0,978090.0,OBC/X/OP,OBC,X,OP,2020,2020_round1.pdf
CSE,761958.0,761958.0,FW/OP,FW,OP,,2020,2020_round1.pdf
CSE,836832.0,836832.0,EWS,EWS,,,2020,2020_round1.pdf
CSE,257305.0,983900.0,UR/X/OP,UR,X,OP,2020,2020_round1.pdf
EC,281301.0,320121.0,ST/X/OP,ST,X,OP,2020,2020_round2.pdf
EC,912305.0,912305.0,UR/H/OP,UR,H,OP,2020,2020_round2.pdf
EE,35068.0,39039.0,EWS,EWS,,,2020,2020_round2.pdf
EE,34833.0,45282.0,FW/OP,FW,OP,,2020,2020_round2.pdf
EE,42791.0,45469.0,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
EE,36831.0,45833.0,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
EE,48073.0,49115.0,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf
EE,44926.0,53023.0,UR/X/F,UR,X,F,2020,2020_round2.pdf
EE,183255.0,183255.0,SC/X/OP,SC,X,OP,2020,2020_round2.pdf
EE,295377.0,295377.0,ST/X/OP,ST,X,OP,2020,2020_round2.pdf
EI,42191.0,43398.0,UR/X/F,UR,X,F,2020,2020_round2.pdf
EI,35569.0,43483.0,FW/OP,FW,OP,,2020,2020_round2.pdf
EI,32777.0,45744.0,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
EI,47345.0,47345.0,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
EI,50431.0,50431.0,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf
EI,37264.0,52738.0,EWS,EWS,,,2020,2020_round2.pdf
EI,372901.0,372901.0,ST/X/OP,ST,X,OP,2020,2020_round2.pdf
EI,426587.0,610672.0,ST/X/F,ST,X,F,2020,2020_round2.pdf
IP,51992.0,51992.0,FW/OP,FW,OP,,2020,2020_round2.pdf
IP,60393.0,60393.0,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf
IP,50839.0,65908.0,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
IP,61807.0,79276.0,UR/X/F,UR,X,F,2020,2020_round2.pdf
IP,57092.0,80564.0,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
IP,154457.0,154457.0,OBC/X/F,OBC,X,F,2020,2020_round2.pdf
IP,246556.0,268432.0,SC/X/OP,SC,X,OP,2020,2020_round2.pdf
IP,479998.0,653170.0,ST/X/OP,ST,X,OP,2020,2020_round2.pdf
IP,758769.0,758769.0,ST/X/F,ST,X,F,2020,2020_round2.pdf
IT,20549.0,22786.0,FW/OP,FW,OP,,2020,2020_round2.pdf
IT,20677.0,27473.0,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
IT,24545.0,27728.0,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
IT,23166.0,28839.0,EWS,EWS,,,2020,2020_round2.pdf
IT,24868.0,30737.0,UR/X/F,UR,X,F,2020,2020_round2.pdf
IT,34732.0,35714.0,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf
IT,80422.0,91837.0,OBC/X/F,OBC,X,F,2020,2020_round2.pdf
IT,129507.0,176662.0,SC/X/OP,SC,X,OP,2020,2020_round2.pdf
IT,168966.0,204400.0,SC/X/F,SC,X,F,2020,2020_round2.pdf
IT,287874.0,287874.0,ST/X/OP,ST,X,OP,2020,2020_round2.pdf
IT,522986.0,522986.0,OBC/H/OP,OBC,H,OP,2020,2020_round2.pdf
IT,800497.0,800497.0,UR/H/OP,UR,H,OP,2020,2020_round2.pdf
